Symbol,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share
NLIC,31.62%,"9.75
                                
                                    (FY:080-081, Q:3)",93.03,148.65,6.10,"21.05
                                
                                    (FY:079-080)",,
NLICL,18.31%,"9.94
                                
                                    (FY:080-081, Q:3)",70.22,134.38,5.19,,,"10:6
                                
                                    (FY:074-075)"
NMB,4.36%,"12.72
                                
                                    (FY:080-081, Q:4)",18.62,158.27,1.50,"8.25
                                
                                    (FY:078-079)","12.50
                                
                                    (FY:077-078)",
NMB50,4.57%,"0.00
                                
                                    (FY:076-077, Q:7)",0.00,0.00,0.00,"15.00
                                
                                    (FY:079-080)",,
NMBMF,39.88%,"-13.85
                                
                                    (FY:080-081, Q:3)",-56.96,126.20,6.25,,,"1:1.5
                                
                                    (FY:075-076)"
NMFBS,17.86%,"21.82
                                
                                    (FY:080-081, Q:3)",73.79,243.29,6.62,,,
NMLBBL,0.00%,"18.92
                                
                                    (FY:080-081, Q:3)",43.34,178.58,4.59,,,
NRIC,32.93%,"5.03
                                
                                    (FY:080-081, Q:2)",194.23,143.67,6.80,,,
NRM,58.51%,"-0.72
                                
                                    (FY:080-081, Q:3)",-733.33,87.81,6.01,,,
NRN,111.42%,"6.08
                                
                                    (FY:080-081, Q:3)",164.41,147.63,6.77,,,
NSIF2,25.14%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,11.30,,,
NTC,24.74%,"41.44
                                
                                    (FY:080-081, Q:3)",25.68,512.99,2.07,,"20.00
                                
                                    (FY:077-078)",
NUBL,27.40%,"8.98
                                
                                    (FY:080-081, Q:3)",91.65,186.10,4.42,,,
NWCL,0.00%,"-27.21
                                
                                    (FY:080-081, Q:3)",-41.38,75.14,14.99,,,
NYADI,44.98%,"-11.11
                                
                                    (FY:080-081, Q:4)",-32.49,66.02,5.47,,,
OHL,45.84%,"7.80
                                
                                    (FY:080-081, Q:3)",139.49,338.42,3.21,"5.26
                                
                                    (FY:079-080)","5.00
                                
                                    (FY:075-076)",
PBD84,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,040.00",,,
PBD85,21.21%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,000.00",,,
PBD88,18.45%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,040.00",,,
PCBL,49.76%,"19.45
                                
                                    (FY:080-081, Q:4)",14.19,159.41,1.73,,,
PFL,76.25%,"-9.83
                                
                                    (FY:080-081, Q:4)",-64.08,123.50,5.10,,,"1:0.15
                                
                                    (FY:074-075)"
PHCL,45.33%,"2.04
                                
                                    (FY:080-081, Q:3)",209.80,99.51,4.30,,,
PMHPL,64.42%,"2.58
                                
                                    (FY:080-081, Q:3)",118.02,85.02,3.58,,,
